VendorName,VendorNumber,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
SAZERAC NORTH AMERICA INC.,660,2127,Canadian Ltd,7.19,10.49,1750.0,86887,624717.53,899110.55,183132.56,86195.0,158367.21,17932.33,274393.02,30.52,0.992,1.439,7.19,Large,4975.4800000000005
CONSTELLATION BRANDS INC,1392,6682,R M Woodbridge Chard Cal,6.03,8.99,1500.0,101547,612328.41,1016328.61,161300.35,101339.0,22776.05,79528.99,404000.19999999995,39.75,0.998,1.66,6.03,Large,1254.24
DIAGEO NORTH AMERICA INC,3960,3798,Ciroc Apple Vodka,19.83,28.99,750.0,30830,611358.9,748067.53,157601.68,29647.0,23348.15,257032.07,136708.63,18.27,0.9616,1.224,19.830000000000002,Large,23458.89
DIAGEO NORTH AMERICA INC,3960,4262,Capt Morgan Spiced Rum,11.19,13.99,750.0,54552,610436.88,862422.9,241540.93,55710.0,43861.64,257032.07,251986.02000000002,29.22,1.0212,1.413,11.19,Large,-12958.019999999999
BROWN-FORMAN CORP,1128,2015,Jack Daniels Tennessee Honey,18.1,22.99,750.0,33715,610241.5,771010.3099999999,303753.14999999997,32969.0,25959.91,68601.68,160768.80999999994,20.85,0.9779,1.263,18.1,Large,13502.6
JIM BEAM BRANDS COMPANY,12546,1737,Makers Mark,34.3,51.99,1750.0,17537,601519.1,823521.11,432234.78,16089.0,29564.92,123880.97,222002.01,26.96,0.9174,1.369,34.3,Large,49666.399999999994
MARTIGNETTI COMPANIES,4425,38370,Oyster Bay Svgn Bl Marlboro,6.59,9.95,750.0,91140,600612.6,890334.41,124833.98,90267.0,10138.880000000001,144929.24,289721.81000000006,32.54,0.9904,1.482,6.59,Large,5753.07
PALM BAY INTERNATIONAL INC,6785,6937,Cavit Pinot Grigio,6.75,9.99,1500.0,88752,599076.0,945345.02,164272.29,87974.0,19771.27,13605.41,346269.02,36.63,0.9912,1.578,6.75,Large,5251.5
MOET HENNESSY USA INC,8112,4689,Hennessy Privilege VSOP,33.33,45.99,750.0,17838,594540.54,858571.95,177136.37,18005.0,14178.85,48347.26,264031.4099999999,30.75,1.0094,1.444,33.330000000000005,Large,-5566.11
MARTIGNETTI COMPANIES,4425,3040,Tito's Handmade Vodka,16.54,23.99,1000.0,35922,594149.88,842326.99,253126.18,34901.0,36646.05,144929.24,248177.11,29.46,0.9716,1.418,16.54,Large,16887.34
PERNOD RICARD USA,17035,3625,Absolut 80 Proof,12.59,16.99,750.0,45969,578749.7100000001,785296.94,270297.42,44406.0,34961.13,123780.22,206547.22999999986,26.3,0.966,1.357,12.590000000000002,Large,19678.17
MOET HENNESSY USA INC,8112,7865,Moet & Chandon Imperial,23.97,34.99,750.0,24088,577389.36,834892.1,249582.16,23290.0,2606.53,48347.26,257502.74,30.84,0.9669,1.446,23.97,Large,19128.059999999998
JIM BEAM BRANDS COMPANY,12546,1346,Knob Creek Bourbon,22.55,29.99,750.0,25540,575927.0,684455.5599999999,350154.70999999996,22144.0,17438.07,123880.97,108528.55999999994,15.86,0.867,1.188,22.55,Large,76579.8
REMY COINTREAU USA INC,7239,5242,Cointreau Liqueur,22.05,29.99,750.0,25361,559210.05,763368.2999999999,351898.27,24770.0,19504.75,16978.67,204158.24999999988,26.74,0.9767,1.365,22.05,Large,13031.550000000001
REMY COINTREAU USA INC,7239,4722,Remy Martin VSOP Cognac,27.77,34.99,750.0,19910,552900.7000000001,665392.63,204514.67,18637.0,14677.69,16978.67,112491.92999999993,16.91,0.9361,1.203,27.770000000000003,Large,35351.21
